# p2_filt_x, p2_filt_y, p2_smoothed_x, p2_smoothed_y
3.602363069459485700e+01, 3.638845539616710312e+01, 1.181373495927382145e+01, 1.084155847124971750e+01
3.573174960927824628e+01, 3.612152840561488887e+01, 1.177590447409258267e+01, 1.075064232348705140e+01
3.547360055022139846e+01, 3.582044909808221433e+01, 1.172537317578964533e+01, 1.072757995895677929e+01
3.516807298148216177e+01, 3.555901716423780812e+01, 1.164293648914079782e+01, 1.047706907718832703e+01
3.484290975011222713e+01, 3.529364812899629555e+01, 1.156290659152107203e+01, 1.047550644587862934e+01
3.459386264306940717e+01, 3.504546759476536266e+01, 1.143821746730592714e+01, 1.047965303996468478e+01
3.429223713154244990e+01, 3.478527328185912637e+01, 1.140974939409005806e+01, 1.041144395316283422e+01
3.405178039885669250e+01, 3.454937734630717472e+01, 1.127584710163985449e+01, 1.039313837760787251e+01
3.382221602148626260e+01, 3.427038736842586530e+01, 1.124358503729088987e+01, 1.035091384197900588e+01
3.359838793552006564e+01, 3.403349829678715821e+01, 1.115159380309843051e+01, 1.007671351785994318e+01
3.335004019157022270e+01, 3.381053777412251549e+01, 1.112648340612858888e+01, 9.939016278814685634e+00
3.313435262879676202e+01, 3.355799899110738949e+01, 1.108088390083790387e+01, 9.931353163401606565e+00
3.284943611818577125e+01, 3.333008346593243232e+01, 1.099269062772868999e+01, 9.697097577613709163e+00
3.264455058045271585e+01, 3.308769678603143660e+01, 1.089980835975065077e+01, 9.715745544854804905e+00
3.239351818830834162e+01, 3.287039783284510719e+01, 1.081648456775226919e+01, 9.471905741585281646e+00
3.220043294248606003e+01, 3.265701869184745476e+01, 1.072824692473452046e+01, 9.468047213006414609e+00
3.198488755925309590e+01, 3.246096115150983508e+01, 1.067896736755053766e+01, 9.328983393051853312e+00
3.175327557671725387e+01, 3.226395243887401421e+01, 1.065082392399011901e+01, 9.311646148172163961e+00
3.147348127175668253e+01, 3.203538296494497217e+01, 1.060672856932991159e+01, 9.321763084062386184e+00
3.124587558319158731e+01, 3.184217630666180554e+01, 1.044801822430624938e+01, 9.290057414897589183e+00
3.096798791981551346e+01, 3.161964952492322212e+01, 1.037613989395017278e+01, 9.300982519779097402e+00
3.079730625766647023e+01, 3.143962926944457692e+01, 1.019598522660746731e+01, 9.260924636683396827e+00
3.062051693471143921e+01, 3.126795567199236814e+01, 1.018133265597497150e+01, 9.192685548467451895e+00
3.040990258734524687e+01, 3.109491837380419454e+01, 1.016425784975134938e+01, 9.173077639712083453e+00
3.025021667901030042e+01, 3.091546469900657002e+01, 1.011840925799113400e+01, 9.195766710553467504e+00
3.006894199172025139e+01, 3.075151012531645023e+01, 1.008489400909163436e+01, 9.107345245881020901e+00
2.978180567313996718e+01, 3.052939590382496249e+01, 1.006267705387168476e+01, 9.110849336885205929e+00
2.962580953443513465e+01, 3.037196687878652313e+01, 9.835178394153837544e+00, 9.043953904050633597e+00
2.947521891559339835e+01, 3.021514486072614858e+01, 9.825537120320488427e+00, 9.016565619345437099e+00
2.933005688900818697e+01, 3.005539177343413471e+01, 9.813769101218502655e+00, 8.982044185132149750e+00
2.910522401721863872e+01, 2.987957081429199491e+01, 9.793763742954528340e+00, 8.923553197896222144e+00
2.895632119899206458e+01, 2.973294718086721034e+01, 9.670387122062765073e+00, 8.920328781158444187e+00
2.877543774433261348e+01, 2.957936866264181575e+01, 9.658946745437752668e+00, 8.908536162681219395e+00
2.862679200819440339e+01, 2.943679594236083119e+01, 9.593769363835644270e+00, 8.919905530551789141e+00
2.849378028581479683e+01, 2.928110656720778238e+01, 9.567325991438799804e+00, 8.928473880176774458e+00
2.835559719168537995e+01, 2.914066516133655682e+01, 9.549031303241175550e+00, 8.839700708132342655e+00
2.822477943369112907e+01, 2.899896400913318573e+01, 9.541256960037683754e+00, 8.814285748239326423e+00
2.806854120420024046e+01, 2.886019125154289355e+01, 9.527463859794440992e+00, 8.776660270924711682e+00
2.793176789006266603e+01, 2.872657742146317617e+01, 9.489125861985620247e+00, 8.786111743911698468e+00
2.778938929316501216e+01, 2.859460906424380511e+01, 9.479154079198570670e+00, 8.776070508613608823e+00
2.766178012855479551e+01, 2.846061755711480856e+01, 9.459679493263065453e+00, 8.781298043218706439e+00
2.753063852564501346e+01, 2.833144482187786295e+01, 9.454350668869707874e+00, 8.745251445075769681e+00
2.735675546334735131e+01, 2.818776979164383789e+01, 9.446577243831379533e+00, 8.733835737689027212e+00
2.713099349904023327e+01, 2.801743214044297403e+01, 9.369560958806042450e+00, 8.731362520590586485e+00
2.700389317339546835e+01, 2.789686961114724539e+01, 9.195473587173424335e+00, 8.682918191461983071e+00
2.688579982267771484e+01, 2.777550086610707325e+01, 9.179769694936963376e+00, 8.691312903893578579e+00
2.676781495159587365e+01, 2.765626524001695330e+01, 9.176579310092325414e+00, 8.675409889863649582e+00
2.663707333055504023e+01, 2.753787087401552824e+01, 9.172383754984739568e+00, 8.665351646638319139e+00
2.650162729275002960e+01, 2.741891084545663304e+01, 9.148220806040043840e+00, 8.676614523765419307e+00
2.639176306945141803e+01, 2.729910471850281084e+01, 9.114310714308391681e+00, 8.688051630629631816e+00
2.626573666488145875e+01, 2.718451455098912106e+01, 9.114229708221639470e+00, 8.652326644713777881e+00
2.615089090814612049e+01, 2.707314461172405018e+01, 9.090568227821799852e+00, 8.663262493162473987e+00
2.604349983255116641e+01, 2.696243197642546718e+01, 9.083359074537906253e+00, 8.665911768583510977e+00
2.590302258076784270e+01, 2.684632552959594776e+01, 9.078592222594656036e+00, 8.664436096698196366e+00
