# p1_filt_x, p1_filt_y, p1_smoothed_x, p1_smoothed_y
1.000000000000000000e+02, 1.000000000000000000e+02, nan, nan
8.263760445713798219e+01, 8.212025875049100421e+01, nan, nan
9.657599473924565814e+01, 9.750131518009784770e+01, nan, nan
1.005928808196022999e+02, 9.977003782450744040e+01, nan, nan
9.908473840983307923e+01, 9.586962380769726622e+01, nan, nan
9.528390222849459690e+01, 9.199362088714657659e+01, 1.975616772329707160e+01, 1.628148664985888061e+01
8.799624357891616455e+01, 8.761894883338557349e+01, 2.750401303745912429e+01, 2.042793095936653458e+01
8.487242562096737686e+01, 8.320702129742760178e+01, 2.273496284928318190e+01, 2.378765676296200837e+01
8.165467260630963153e+01, 8.022379095006758121e+01, 2.484994820315199959e+01, 2.192463982438876613e+01
7.854946345184353618e+01, 7.737176491068457551e+01, 2.545271396819421383e+01, 2.285080778360053699e+01
7.564156486289950010e+01, 7.476119762654276713e+01, 2.564148558690042634e+01, 2.284858384131925035e+01
7.294843721691282212e+01, 7.239016647137168547e+01, 2.528783936426506429e+01, 2.332854106703896946e+01
7.003705918365555760e+01, 7.020107254536293340e+01, 2.480019614981524967e+01, 2.362926834876436644e+01
6.804238252296403289e+01, 6.813839282193286806e+01, 2.300531521823776160e+01, 2.379087239629789252e+01
6.598282464328030983e+01, 6.527973098464138957e+01, 2.276667004141949135e+01, 2.373151002476384974e+01
6.416954052909605366e+01, 6.372572613490918059e+01, 2.209591995454759683e+01, 2.123549761604580155e+01
6.261342888553851083e+01, 6.178926351356696500e+01, 2.155967065740471256e+01, 2.128665537891355442e+01
6.050806901733337639e+01, 6.031299750347809407e+01, 2.114325991874282096e+01, 1.971044035548422002e+01
5.929345890571747901e+01, 5.907368181970799981e+01, 1.933527345800403907e+01, 1.947555613560250265e+01
5.812129157897847165e+01, 5.788620418099715437e+01, 1.920778498537683632e+01, 1.935238021500195771e+01
5.701912713459863369e+01, 5.667550292145255497e+01, 1.902468595006916274e+01, 1.920371355265484681e+01
5.598017155772553366e+01, 5.542703086936367640e+01, 1.890384485824412408e+01, 1.883632725736597280e+01
5.489738333155786165e+01, 5.444729681711679348e+01, 1.878367347897513895e+01, 1.812097770164100297e+01
5.385141033701716395e+01, 5.351009229304204950e+01, 1.846827438483876094e+01, 1.801078021403105822e+01
5.290455620525991520e+01, 5.262413079910336933e+01, 1.809687506579845362e+01, 1.789276545957697095e+01
5.196731432945014006e+01, 5.177453139669859183e+01, 1.784228701449244525e+01, 1.778099909190433081e+01
5.115560005549134814e+01, 5.088922970722962447e+01, 1.749709327442167961e+01, 1.766679506388119236e+01
5.013124115356077226e+01, 5.009529635994534402e+01, 1.737809713623483177e+01, 1.740696694514070586e+01
4.939197473395214644e+01, 4.932815618055597895e+01, 1.653359310185629028e+01, 1.718977696170761504e+01
4.864215501322446045e+01, 4.838703698774131112e+01, 1.635067657388574958e+01, 1.705699984829371374e+01
4.796719992436055691e+01, 4.751819190617302269e+01, 1.618447760355988763e+01, 1.651041970735555253e+01
4.724557854918099054e+01, 4.689107743674186679e+01, 1.608302637958372827e+01, 1.596163087725659224e+01
4.658391559133461612e+01, 4.628951723421085518e+01, 1.573610071226248586e+01, 1.585504388299542811e+01
4.599466709290175004e+01, 4.557520535291462949e+01, 1.546922410521928093e+01, 1.574834810393281614e+01
4.541320082551664683e+01, 4.502410989543878372e+01, 1.538631265748126076e+01, 1.536465666820856590e+01
4.485380775763395178e+01, 4.448152594536702509e+01, 1.523714710960430629e+01, 1.527949674602890440e+01
4.418681616919134569e+01, 4.393629028568442152e+01, 1.509360855846320959e+01, 1.518249403616171200e+01
4.360705937243199770e+01, 4.320453246392064273e+01, 1.457563757773004021e+01, 1.500147725211465399e+01
4.307207972673078444e+01, 4.274124642728070711e+01, 1.434365624558809671e+01, 1.439371894043230427e+01
4.261777972669029424e+01, 4.227832491790310598e+01, 1.406469415960567204e+01, 1.430765049586717730e+01
4.211014250743703258e+01, 4.183956493672467758e+01, 1.398332175952704226e+01, 1.421010133150881849e+01
4.163205072100451787e+01, 4.141722921102817168e+01, 1.368421795510463213e+01, 1.411229681667312974e+01
4.122116663599593522e+01, 4.097354314765162542e+01, 1.339743551254077047e+01, 1.402522396812081418e+01
4.081750431480558206e+01, 4.049963740933409895e+01, 1.333342993804753895e+01, 1.391152821910841197e+01
