# p3_filt_x, p3_filt_y, p3_smoothed_x, p3_smoothed_y
1.000000000000000000e+02, 1.000000000000000000e+02, nan, nan
8.118736106396694652e+01, 8.350529529905843162e+01, nan, nan
9.672956841406447381e+01, 9.744433806815032995e+01, nan, nan
1.005286916027408068e+02, 1.006660855369807166e+02, nan, nan
9.643242945863903515e+01, 9.890244313951535560e+01, nan, nan
9.289298515051980587e+01, 9.377602797401085866e+01, nan, 2.074493934320342703e+01
8.923346578719028344e+01, 8.906058231728889041e+01, 2.049762401920908772e+01, 2.522571803100535348e+01
8.557712019072786802e+01, 8.499085650507095124e+01, 2.530599941723676594e+01, 2.589594866460759448e+01
8.133448374890816979e+01, 8.166654608066339449e+01, 2.699882358166583529e+01, 2.558164103858338834e+01
7.790943157837084243e+01, 7.866820754400959004e+01, 2.564085454678462739e+01, 2.611781050702789386e+01
7.517645520465021036e+01, 7.522593880881083805e+01, 2.421112907719732732e+01, 2.626910173270809068e+01
7.272433472758737594e+01, 7.270294224003872330e+01, 2.437556935494745858e+01, 2.476626900146681720e+01
7.049927247237397410e+01, 7.017291186397967806e+01, 2.424524742127019294e+01, 2.437257849971544132e+01
6.791242344356476224e+01, 6.809497165836870636e+01, 2.414589820902375550e+01, 2.318883619321082534e+01
6.607461840598651293e+01, 6.623110996541237228e+01, 2.256737571685843236e+01, 2.293103996467666761e+01
6.431521380340380745e+01, 6.405651651196582463e+01, 2.232062635719413279e+01, 2.264676373380557095e+01
6.275863361265905382e+01, 6.244503674902398416e+01, 2.188574488984220068e+01, 2.108031669115592521e+01
6.073024984245004276e+01, 6.095629051469100546e+01, 2.172035908942034510e+01, 2.041993506564904948e+01
5.931268794865994920e+01, 5.969934105914807532e+01, 2.030297031400676744e+01, 2.016804159600439306e+01
5.811931243453873464e+01, 5.829397268111196695e+01, 1.978294260113353076e+01, 2.007954625209856303e+01
5.693057833492864006e+01, 5.716764262438706368e+01, 1.961944880466757013e+01, 1.942415520602369483e+01
5.567455873081625839e+01, 5.611037607789719317e+01, 1.933609168889761776e+01, 1.927476548716710170e+01
5.466853260955190308e+01, 5.497783949726931496e+01, 1.872760448857373561e+01, 1.915738904932904774e+01
5.371513526487088797e+01, 5.390861772126484652e+01, 1.856664628350796065e+01, 1.876824751044003037e+01
5.279191354676082426e+01, 5.292225550253487398e+01, 1.841870418655631170e+01, 1.836766757647649939e+01
5.187881847319272310e+01, 5.205847007938898940e+01, 1.825817485222335179e+01, 1.801434711314090364e+01
5.094273026930633108e+01, 5.123849089043975624e+01, 1.803755769764826766e+01, 1.788722466743190509e+01
4.982975044563777800e+01, 5.039875844495371382e+01, 1.767413239601040686e+01, 1.778676170938478407e+01
4.903201109059093454e+01, 4.967469105182200195e+01, 1.666313595595687858e+01, 1.749022746801550454e+01
4.818037897882076237e+01, 4.842433634217378113e+01, 1.626474167500909473e+01, 1.739575514749588336e+01
4.755389852692383812e+01, 4.772654064281942965e+01, 1.587444627413984932e+01, 1.622637821735047226e+01
4.694520284919592257e+01, 4.707898037661585988e+01, 1.580124517864528855e+01, 1.600523256750822298e+01
4.634388999684550470e+01, 4.647729938646516956e+01, 1.571775962384002234e+01, 1.584213596896525900e+01
4.577510955520956770e+01, 4.585457478041904977e+01, 1.560652179688489127e+01, 1.573732794183819728e+01
4.506498365104704362e+01, 4.529060939092628502e+01, 1.553228834691008764e+01, 1.554145706531850202e+01
4.452915593590099519e+01, 4.462313640399337800e+01, 1.505054459983965032e+01, 1.541338290354779339e+01
4.401983917510896305e+01, 4.409820594506383173e+01, 1.495220661584561661e+01, 1.503568729483879096e+01
4.353217962499675764e+01, 4.354423310167385353e+01, 1.486982118164334032e+01, 1.491854552985008731e+01
